symbol,strategy,interval,full_ret_pct,full_sharpe,full_calmar,full_max_dd,full_trades,full_wr,oos_n,oos_ret_pct,oos_sharpe,oos_pnl_usd,passes
SOL,turtle_donchian,4h,-0.7132,0.0167,-0.0687,10.3846,36,30.56,14,-3927.9800,-17.4870,-1517.36,0
SOL,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,mean_reversion,4h,-8.3838,-2.3751,-0.7251,11.5627,82,25.61,17,1569.8500,3.9682,424.10,0
SOL,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,trend_pullback,4h,-14.7966,-2.9485,-0.8646,17.1142,327,46.48,104,-2175.9200,-0.9229,-510.14,0
SOL,slow_drift_follow,4h,-4.5658,-2.2335,-0.7604,6.0041,406,36.70,121,585.5400,0.2430,52.56,0
SOL,range_breakout,4h,1.0032,0.3485,0.2982,3.3646,144,45.14,47,-3392.3300,-1.5531,-350.59,0
SOL,rsi2_connors,4h,-19.2761,-4.6441,-0.9613,20.0516,553,59.49,170,-1174.3400,-0.3359,-198.91,0
LINK,regime_momentum,4h,-7.1150,-0.9160,-0.4585,15.5174,397,37.53,132,-4728.3300,-1.8696,-1752.70,0
LINK,ema_crossover,4h,6.0921,0.5226,0.4755,12.8118,61,32.79,20,-3134.1100,-2.1401,-1361.18,0
LINK,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,turtle_donchian,4h,-9.5304,-0.7351,-0.4312,22.1013,49,10.20,20,-7858.1500,-22.3521,-2831.12,0
LINK,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,mean_reversion,4h,-11.6029,-2.8345,-0.7414,15.6499,100,24.00,16,3822.2200,8.4558,991.11,0
LINK,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
LINK,trend_pullback,4h,-13.8007,-2.5226,-0.9125,15.1242,315,46.67,107,-1899.1000,-0.7571,-426.08,0
LINK,slow_drift_follow,4h,-9.7885,-4.8514,-0.9515,10.2871,435,31.26,136,-2117.1500,-0.7395,-196.49,0
LINK,range_breakout,4h,0.2898,0.1154,0.0796,3.6385,153,43.79,49,-7757.8400,-3.7538,-790.68,0
LINK,rsi2_connors,4h,-20.2755,-4.7811,-0.9736,20.8259,530,60.75,171,-175.9300,-0.0619,-27.86,0
AVAX,regime_momentum,4h,-2.0569,-0.1828,-0.1344,15.3042,362,38.95,113,-1214.6000,-0.3720,-765.09,0
AVAX,ema_crossover,4h,3.7549,0.3752,0.2830,13.2659,50,40.00,20,-2728.8500,-1.5921,-1191.82,0
AVAX,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,turtle_donchian,4h,-9.9958,-0.8789,-0.5843,17.1080,43,13.95,14,-3311.6000,-7.8609,-1156.53,0
AVAX,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,mean_reversion,4h,-6.2521,-1.4988,-0.5791,10.7954,97,26.80,22,4605.8900,6.5352,1258.58,0
AVAX,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
AVAX,trend_pullback,4h,-2.2646,-0.3386,-0.1984,11.4117,304,47.37,103,-922.4900,-0.3194,-250.21,0
AVAX,slow_drift_follow,4h,-8.1305,-3.9790,-0.9260,8.7800,400,35.50,126,641.8200,0.2578,56.17,0
AVAX,range_breakout,4h,-0.4198,-0.0845,-0.1216,3.4518,152,42.76,50,-3100.2000,-1.1521,-317.71,0
AVAX,rsi2_connors,4h,-17.2212,-4.0170,-0.8733,19.7194,564,60.99,195,1261.7400,0.3168,225.95,0
ARB,regime_momentum,4h,-8.0841,-0.9971,-0.6629,12.1945,387,37.21,123,-1262.8200,-0.3755,-510.99,0
ARB,ema_crossover,4h,1.6586,0.2445,0.0907,18.2958,51,39.22,16,-4075.9800,-2.0442,-1796.65,0
ARB,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ARB,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ARB,turtle_donchian,4h,0.3801,0.1334,0.0331,11.4809,27,25.93,8,-1402.9000,-4.5177,-537.80,0
ARB,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ARB,mean_reversion,4h,-9.4119,-2.4557,-0.8764,10.7392,79,27.85,17,-423.0500,-0.9426,-118.89,0
ARB,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ARB,trend_pullback,4h,-16.9295,-2.9264,-0.9725,17.4082,292,46.23,90,-1128.0100,-0.3414,-254.06,0
ARB,slow_drift_follow,4h,-7.7494,-3.5729,-0.8524,9.0914,387,33.59,110,-4169.3600,-1.6700,-394.55,0
ARB,range_breakout,4h,-0.0791,0.0083,-0.0139,5.6765,149,43.62,44,1045.9100,0.3891,96.59,0
ARB,rsi2_connors,4h,-17.3593,-3.7069,-0.9201,18.8661,518,66.02,159,5204.3700,1.5091,866.21,0
DOGE,regime_momentum,4h,11.6926,1.4195,1.4326,8.1619,383,40.99,109,2663.8300,0.8578,689.36,1
DOGE,ema_crossover,4h,-12.0457,-0.2977,-0.2849,42.2858,51,39.22,19,-2567.0000,-1.7548,-934.34,0
DOGE,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
DOGE,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
DOGE,turtle_donchian,4h,28.8236,1.5802,1.8828,15.3089,31,29.03,12,-1960.0300,-4.1544,-978.00,0
DOGE,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
DOGE,mean_reversion,4h,-11.8163,-2.2957,-0.8186,14.4354,103,25.24,28,-2061.0900,-2.4281,-562.54,0
DOGE,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
DOGE,trend_pullback,4h,-7.7901,-1.2604,-0.7233,10.7708,317,47.95,108,3903.4100,1.4465,877.49,0
DOGE,slow_drift_follow,4h,-7.2178,-3.3473,-0.8832,8.1726,421,34.20,112,936.2000,0.3960,84.87,0
DOGE,range_breakout,4h,-2.6344,-0.7022,-0.5070,5.1960,160,42.50,56,-7473.4500,-2.8046,-744.96,0
DOGE,rsi2_connors,4h,-12.6096,-2.6246,-0.6918,18.2260,519,62.24,177,1079.1600,0.3283,193.12,0
