n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,tp_rate,sl_rate,timeout_rate,rally_lb,rally_thr,rsi_thr,tp_pct,sl_pct,hold_bars,symbol
19,68.42,0.2287,3.921,-5.893,1.926,57.9,15.8,26.3,4,1.0,70,2.0,4.0,24,BTCUSDT
29,41.38,-0.0193,-0.797,-10.193,-0.287,3.4,24.1,72.4,4,1.0,70,3.0,1.5,6,BTCUSDT
28,42.86,0.0137,0.06,-7.597,0.172,7.1,35.7,57.1,4,1.0,70,3.0,1.5,12,BTCUSDT
27,48.15,0.1776,4.384,-6.797,1.755,22.2,48.1,29.6,4,1.0,70,3.0,1.5,24,BTCUSDT
27,55.56,0.2847,7.758,-3.714,4.399,3.7,3.7,92.6,4,1.0,70,3.0,2.5,6,BTCUSDT
24,54.17,0.2237,5.137,-3.355,2.491,8.3,16.7,75.0,4,1.0,70,3.0,2.5,12,BTCUSDT
22,68.18,0.6536,14.874,-2.67,6.05,22.7,22.7,54.5,4,1.0,70,3.0,2.5,24,BTCUSDT
26,53.85,0.2184,5.597,-5.644,3.164,3.8,0.0,96.2,4,1.0,70,3.0,4.0,6,BTCUSDT
20,50.0,-0.023,-0.897,-7.253,-0.21,10.0,10.0,80.0,4,1.0,70,3.0,4.0,12,BTCUSDT
19,63.16,0.3639,6.514,-4.733,2.797,26.3,15.8,57.9,4,1.0,70,3.0,4.0,24,BTCUSDT
47,57.45,-0.1605,-7.508,-9.838,-2.945,42.6,25.5,31.9,4,1.5,55,1.0,1.5,6,BTCUSDT
47,59.57,-0.1692,-7.945,-10.217,-2.793,53.2,34.0,12.8,4,1.5,55,1.0,1.5,12,BTCUSDT
46,58.7,-0.2026,-9.227,-11.285,-3.145,58.7,41.3,0.0,4,1.5,55,1.0,1.5,24,BTCUSDT
44,61.36,-0.189,-8.322,-10.631,-2.816,47.7,15.9,36.4,4,1.5,55,1.0,2.5,6,BTCUSDT
43,60.47,-0.2673,-11.241,-14.403,-3.688,55.8,16.3,27.9,4,1.5,55,1.0,2.5,12,BTCUSDT
40,65.0,-0.2246,-9.014,-12.437,-2.865,65.0,22.5,12.5,4,1.5,55,1.0,2.5,24,BTCUSDT
42,57.14,-0.295,-12.052,-14.267,-3.953,45.2,2.4,52.4,4,1.5,55,1.0,4.0,6,BTCUSDT
39,56.41,-0.4351,-16.076,-17.596,-5.137,53.8,7.7,38.5,4,1.5,55,1.0,4.0,12,BTCUSDT
36,66.67,-0.3326,-11.844,-13.619,-3.483,66.7,13.9,19.4,4,1.5,55,1.0,4.0,24,BTCUSDT
44,45.45,-0.3446,-14.298,-15.58,-6.322,13.6,27.3,59.1,4,1.5,55,1.5,1.5,6,BTCUSDT
43,44.19,-0.3634,-14.799,-16.301,-5.389,25.6,44.2,30.2,4,1.5,55,1.5,1.5,12,BTCUSDT
41,43.9,-0.3675,-14.39,-15.514,-4.806,41.5,53.7,4.9,4,1.5,55,1.5,1.5,24,BTCUSDT
41,56.1,-0.3184,-12.582,-13.89,-4.544,19.5,17.1,63.4,4,1.5,55,1.5,2.5,6,BTCUSDT
39,48.72,-0.4576,-16.769,-18.237,-5.686,28.2,20.5,51.3,4,1.5,55,1.5,2.5,12,BTCUSDT
34,47.06,-0.5832,-18.471,-19.574,-6.318,41.2,32.4,26.5,4,1.5,55,1.5,2.5,24,BTCUSDT
39,51.28,-0.3507,-13.136,-14.435,-4.834,17.9,2.6,79.5,4,1.5,55,1.5,4.0,6,BTCUSDT
35,45.71,-0.5541,-18.112,-19.556,-6.118,28.6,8.6,62.9,4,1.5,55,1.5,4.0,12,BTCUSDT
29,44.83,-0.8817,-23.132,-24.173,-8.198,31.0,17.2,51.7,4,1.5,55,1.5,4.0,24,BTCUSDT
44,45.45,-0.3844,-15.777,-16.888,-7.275,4.5,27.3,68.2,4,1.5,55,2.0,1.5,6,BTCUSDT
43,39.53,-0.4093,-16.501,-16.705,-5.758,14.0,46.5,39.5,4,1.5,55,2.0,1.5,12,BTCUSDT
41,41.46,-0.3304,-13.156,-12.399,-3.914,31.7,56.1,12.2,4,1.5,55,2.0,1.5,24,BTCUSDT
41,56.1,-0.3628,-14.153,-15.285,-5.268,7.3,17.1,75.6,4,1.5,55,2.0,2.5,6,BTCUSDT
38,42.11,-0.5431,-19.086,-19.283,-6.526,15.8,21.1,63.2,4,1.5,55,2.0,2.5,12,BTCUSDT
32,43.75,-0.624,-18.613,-19.069,-6.371,28.1,34.4,37.5,4,1.5,55,2.0,2.5,24,BTCUSDT
39,51.28,-0.4102,-15.116,-16.235,-5.836,5.1,2.6,92.3,4,1.5,55,2.0,4.0,6,BTCUSDT
34,38.24,-0.6672,-20.783,-20.975,-7.229,14.7,8.8,76.5,4,1.5,55,2.0,4.0,12,BTCUSDT
29,44.83,-0.8076,-21.486,-22.211,-7.224,24.1,17.2,58.6,4,1.5,55,2.0,4.0,24,BTCUSDT
44,43.18,-0.4425,-17.89,-18.972,-8.976,0.0,27.3,72.7,4,1.5,55,3.0,1.5,6,BTCUSDT
