symbol,variant,lookback,thr,hold,n_trades,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,avg_size
LINKUSDT,classical,20,2.0,12,76,42.11,-0.2781,-20.71,17.753,-23.988,-3.23,1.0
LINKUSDT,classical,20,2.5,12,50,46.0,-0.3546,-17.297,17.753,-26.304,-4.296,1.0
LINKUSDT,kronos_gated,50,2.5,12,21,57.14,0.5349,11.42,17.753,-3.169,7.263,1.0
LINKUSDT,kronos_gated,100,1.5,12,54,55.56,0.5897,35.568,17.753,-7.58,7.069,1.0
LINKUSDT,kronos_gated,100,2.5,24,15,66.67,0.9069,13.784,17.753,-5.444,5.754,1.0
LINKUSDT,kronos_gated,50,2.5,24,19,63.16,0.8824,17.236,17.753,-9.685,5.649,1.0
LINKUSDT,kronos_gated,50,2.0,12,35,51.43,0.3088,10.948,17.753,-4.218,5.399,1.0
LINKUSDT,kronos_gated,100,1.5,24,34,61.76,0.7707,27.737,17.753,-9.543,4.672,1.0
LINKUSDT,kronos_gated,50,2.0,24,30,60.0,0.6138,18.469,17.753,-10.303,3.749,1.0
LINKUSDT,kronos_gated,100,2.0,12,29,48.28,0.2723,7.598,17.753,-8.678,3.649,1.0
LINKUSDT,kronos_gated,50,1.5,24,41,60.98,0.5305,22.278,17.753,-10.987,3.601,1.0
LINKUSDT,kronos_gated,20,1.5,24,50,58.0,0.5529,28.947,17.753,-13.341,3.549,1.0
LINKUSDT,kronos_gated,100,2.0,24,18,61.11,0.5074,8.801,17.753,-8.358,3.424,1.0
LINKUSDT,kronos_gated,20,1.5,12,68,50.0,0.2524,16.938,17.753,-7.667,3.208,1.0
LINKUSDT,kronos_gated,100,2.5,12,20,50.0,0.1836,3.37,17.753,-7.097,2.561,1.0
LINKUSDT,kronos_gated,20,2.0,12,46,47.83,0.1565,6.429,17.753,-7.528,2.042,1.0
LINKUSDT,kronos_gated,50,1.5,12,59,49.15,0.1191,6.227,17.753,-10.627,1.745,1.0
LINKUSDT,kronos_gated,20,2.0,24,34,44.12,-0.2095,-7.948,17.753,-19.18,-1.513,1.0
LINKUSDT,kronos_gated,20,2.5,24,21,38.1,-0.3294,-7.488,17.753,-15.13,-2.148,1.0
LINKUSDT,kronos_gated,20,2.5,12,25,40.0,-0.4446,-10.985,17.753,-10.425,-5.94,1.0
LINKUSDT,vol_norm,100,2.5,24,20,75.0,1.9277,42.69,17.753,-13.706,6.924,1.826
LINKUSDT,vol_norm,100,1.5,12,71,57.75,0.8824,76.29,17.753,-19.927,5.834,1.788
LINKUSDT,vol_norm,100,2.5,12,25,60.0,0.6449,15.536,17.753,-11.55,4.694,1.849
LINKUSDT,vol_norm,50,2.5,24,28,60.71,1.186,31.547,17.753,-26.133,3.473,1.888
LINKUSDT,vol_norm,100,1.5,24,44,56.82,0.8868,39.337,17.753,-23.051,3.294,1.75
LINKUSDT,vol_norm,100,2.0,24,23,56.52,0.8024,17.166,17.753,-17.064,3.185,1.813
LINKUSDT,vol_norm,100,2.0,12,37,48.65,0.3453,10.66,17.753,-22.492,2.419,1.848
LINKUSDT,vol_norm,50,2.0,24,43,55.81,0.722,25.852,17.753,-34.41,2.227,1.882
LINKUSDT,vol_norm,50,1.5,24,57,57.89,0.3708,13.139,17.753,-32.612,1.279,1.913
LINKUSDT,vol_norm,50,2.5,12,34,61.76,0.2235,3.924,17.753,-22.975,1.266,1.845
LINKUSDT,vol_norm,20,1.5,24,74,51.35,0.4375,14.998,17.753,-39.645,1.18,2.159
LINKUSDT,vol_norm,20,2.5,24,43,46.51,0.213,1.527,17.753,-40.467,0.667,2.014
LINKUSDT,vol_norm,50,2.0,12,56,46.43,0.0314,-2.252,17.753,-30.028,0.222,1.876
LINKUSDT,vol_norm,20,2.0,24,57,50.88,0.0064,-7.749,17.753,-46.054,0.022,2.03
LINKUSDT,vol_norm,50,1.5,12,83,43.37,-0.3669,-31.918,17.753,-42.031,-2.267,1.919
LINKUSDT,vol_norm,20,1.5,12,114,46.49,-0.4368,-47.872,17.753,-59.787,-2.293,2.034
LINKUSDT,vol_norm,20,2.5,12,50,46.0,-0.5152,-26.44,17.753,-39.149,-3.145,1.924
LINKUSDT,vol_norm,20,2.0,12,76,42.11,-0.6322,-43.299,17.753,-47.648,-3.629,1.968
